date,5. adjusted close,F
2014-03-19,29.0323,11.9916
2014-03-20,29.3234,12.0458
2014-03-21,29.1155,11.9838
2014-03-24,29.2236,11.9219
2014-03-25,28.6997,11.8754
2014-03-26,28.4585,11.8134
2014-03-27,28.6997,11.8134
2014-03-28,28.8826,11.9684
2014-03-31,28.6248,12.0846
2014-04-01,28.5583,12.6423
2014-04-02,29.0074,12.7508
2014-04-03,29.4731,12.6965
2014-04-04,28.9492,12.4951
2014-04-07,28.367,12.3479
2014-04-08,28.7163,12.4719
2014-04-09,27.9595,12.2705
2014-04-10,27.6934,12.1078
2014-04-11,26.5541,12.1078
2014-04-14,27.0697,12.162
2014-04-15,27.7433,12.2705
2014-04-16,28.2506,12.4486
2014-04-17,28.2589,12.3944
2014-04-21,28.2589,12.3789
2014-04-22,28.4668,12.4719
2014-04-23,28.5999,12.5726
2014-04-24,28.4169,12.6423
2014-04-25,28.0427,12.224
2014-04-28,28.076,12.3712
2014-04-29,28.2672,12.4874
2014-04-30,28.6747,12.6074
2014-05-01,29.024,12.4201
2014-05-02,29.0822,12.4123
2014-05-05,28.8993,12.2874
2014-05-06,28.8993,12.1469
2014-05-07,29.1654,12.0688
2014-05-08,28.9824,12.342
2014-05-09,28.4668,12.3108
2014-05-12,28.9575,12.3654
2014-05-13,29.2319,12.3811
2014-05-14,29.0573,12.2952
2014-05-15,28.5749,12.2483
2014-05-16,28.2756,12.303
2014-05-19,27.1778,12.4279
2014-05-20,27.5021,12.3108
2014-05-21,27.8265,12.4201
2014-05-22,27.7932,12.4201
2014-05-23,27.9678,12.506
2014-05-27,28.2257,12.6152
2014-05-28,28.7662,12.7323
2014-05-29,28.6498,12.9119
2014-05-30,28.7579,12.8338
2014-06-02,28.9908,12.8338
2014-06-03,29.3234,12.9197
2014-06-04,30.3713,13.1071
2014-06-05,30.1634,13.0212
2014-06-06,30.6457,13.3334
2014-06-09,30.6038,13.271
2014-06-10,30.5199,13.2788
2014-06-11,30.2852,13.1929
2014-06-12,29.7821,12.8963
2014-06-13,29.8743,12.9275
2014-06-16,30.2349,12.9822
2014-06-17,30.4864,13.1071
2014-06-18,30.4361,13.1383
2014-06-19,30.4948,13.0993
2014-06-20,30.369,13.0134
2014-06-23,30.7463,13.1773
2014-06-24,30.6709,13.2476
2014-06-25,31.0985,13.4271
2014-06-26,30.9392,13.4271
2014-06-27,30.7044,13.4896
2014-06-30,30.4361,13.4583
2014-07-01,31.5177,13.4349
2014-07-02,31.6435,13.4427
2014-07-03,31.6435,13.5208
2014-07-07,31.3919,13.5208
2014-07-08,31.5093,13.3569
2014-07-09,31.8363,13.6067
2014-07-10,31.6519,13.5052
2014-07-11,31.8196,13.6379
2014-07-14,31.6099,13.7003
2014-07-15,31.5093,13.6925
2014-07-16,31.4255,13.8955
2014-07-17,31.1069,13.8487
2014-07-18,31.3668,13.8331
2014-07-21,31.3836,13.8174
2014-07-22,31.6602,13.9111
2014-07-23,31.3668,13.8799
2014-07-24,29.9666,13.9267
2014-07-25,29.4048,13.755
2014-07-28,29.2623,13.7706
2014-07-29,28.8849,13.716
2014-07-30,28.7676,13.7277
2014-07-31,28.3567,13.3817
2014-08-01,28.0381,13.2166
2014-08-04,28.1806,13.3817
2014-08-05,27.971,13.2638
2014-08-06,28.0046,13.3503
2014-08-07,27.7614,13.2245
2014-08-08,28.1136,13.4368
2014-08-11,28.3399,13.4997
2014-08-12,28.2561,13.5311
2014-08-13,28.4657,13.6962
2014-08-14,28.4657,13.7041
2014-08-15,28.3735,13.6097
2014-08-18,28.843,13.7041
2014-08-19,28.9856,13.649
2014-08-20,28.952,13.6884
2014-08-21,29.0107,13.6805
2014-08-22,28.7089,13.4997
2014-08-25,29.0694,13.5468
2014-08-26,29.2203,13.5154
2014-08-27,29.1029,13.649
2014-08-28,29.0778,13.6962
2014-08-29,29.1784,13.6884
2014-09-02,29.1784,13.8377
2014-09-03,28.9017,13.7355
2014-09-04,29.0359,13.5783
2014-09-05,28.9939,13.4761
2014-09-08,28.1219,13.2088
2014-09-09,27.9781,13.0751
2014-09-10,28.1642,13.0751
2014-09-11,28.435,13.0987
2014-09-12,28.1473,13.0436
2014-09-15,28.4519,12.9493
2014-09-16,28.5196,12.9886
2014-09-17,28.638,12.9965
2014-09-18,28.7903,13.0358
2014-09-19,28.7142,13.0908
2014-09-22,28.2912,12.8628
2014-09-23,28.105,12.7134
2014-09-24,28.4688,12.9021
2014-09-25,27.8089,12.737
2014-09-26,28.0627,12.8392
2014-09-29,27.259,11.88
2014-09-30,27.0221,11.6284
2014-10-01,27.4874,11.4712
2014-10-02,28.0712,11.4476
2014-10-03,28.5619,11.4712
2014-10-06,28.5534,11.4161
2014-10-07,26.8783,11.0859
2014-10-08,27.2252,11.1724
2014-10-09,26.2522,10.8815
2014-10-10,25.6262,10.8422
2014-10-13,25.2032,10.6456
2014-10-14,25.4739,10.8343
2014-10-15,25.1185,10.7085
2014-10-16,25.3301,10.9916
2014-10-17,25.5839,11.023
2014-10-20,25.6685,11.141
2014-10-21,26.0915,11.2117
2014-10-22,26.4891,11.1095
2014-10-23,26.1676,11.3218
2014-10-24,25.4147,10.8343
2014-10-27,25.4485,10.8658
2014-10-28,26.3707,11.1331
2014-10-29,25.99,11.0348
2014-10-30,26.5822,11.0665
2014-10-31,26.5653,11.1776
2014-11-03,26.3791,11.0983
2014-11-04,26.0746,11.0665
2014-11-05,25.9984,11.0586
2014-11-06,26.5399,11.2569
2014-11-07,26.726,11.2411
2014-11-10,26.3284,11.1062
2014-11-11,26.523,11.3997
2014-11-12,26.5822,11.5663
2014-11-13,26.7768,11.844
2014-11-14,26.8952,12.0106
2014-11-17,27.3351,12.3279
2014-11-18,27.3013,12.2962
2014-11-19,27.1998,12.2486
2014-11-20,27.1829,12.2644
2014-11-21,27.1829,12.2406
2014-11-24,27.2336,12.431
2014-11-25,27.2675,12.439
2014-11-26,27.1321,12.3834
2014-11-28,28.2827,12.4786
2014-12-01,27.8681,12.5104
2014-12-02,28.1389,12.6135
2014-12-03,28.4604,12.7007
2014-12-04,27.995,12.5421
2014-12-05,28.7057,12.4548
2014-12-08,27.902,12.2406
2014-12-09,28.013,12.2406
2014-12-10,27.2958,12.0264
2014-12-11,27.4836,12.1216
2014-12-12,26.9543,11.8916
2014-12-15,26.4676,11.3283
2014-12-16,26.2371,11.1776
2014-12-17,26.5957,11.4632
2014-12-18,27.1079,11.7488
2014-12-19,28.013,11.9233
2014-12-22,28.3716,12.074
2014-12-23,28.6533,12.1613
2014-12-24,28.5423,12.1375
2014-12-26,28.7985,12.2565
2014-12-29,29.5413,12.312
2014-12-30,29.9596,12.2962
2014-12-31,29.8059,12.2962
2015-01-02,29.7462,12.1851
2015-01-05,29.3107,11.7091
2015-01-06,29.7547,11.5981
2015-01-07,30.6,11.9312
2015-01-08,30.9073,12.2327
2015-01-09,30.3865,12.0661
2015-01-12,30.6,12.074
2015-01-13,30.0962,12.0661
2015-01-14,29.2851,11.9868
2015-01-15,28.5423,11.7885
2015-01-16,28.7558,11.9154
2015-01-20,28.9692,11.9074
2015-01-21,28.9351,11.8757
2015-01-22,28.8753,11.9233
2015-01-23,28.8155,11.8281
2015-01-26,28.7728,11.963
2015-01-27,28.5338,11.7805
2015-01-28,28.0386,11.5901
2015-01-29,28.3118,11.9027
2015-01-30,27.8508,11.7905
2015-02-02,28.2691,12.2394
2015-02-03,29.0119,12.5439
2015-02-04,30.5914,12.7203
2015-02-05,30.95,12.7043
2015-02-06,30.7366,12.7123
2015-02-09,30.7366,12.7604
2015-02-10,32.0343,12.8966
2015-02-11,32.1624,13.0249
2015-02-12,32.4612,13.113
2015-02-13,32.1197,13.0649
2015-02-17,31.7953,12.9126
2015-02-18,31.7526,12.9928
2015-02-19,32.0258,13.1691
2015-02-20,32.1453,13.1451
2015-02-23,32.1795,13.1291
2015-02-24,32.2307,13.113
2015-02-25,32.3246,13.2333
2015-02-26,32.0685,13.1291
2015-02-27,31.855,13.097
2015-03-02,32.1112,13.2814
2015-03-03,32.2734,12.9607
2015-03-04,32.077,12.8485
2015-03-05,32.1112,12.9126
2015-03-06,31.4538,12.7684
2015-03-09,32.41,12.8485
2015-03-10,32.3153,12.6001
2015-03-11,32.5133,12.6241
2015-03-12,33.0727,12.9607
2015-03-13,32.7456,12.9848
2015-03-16,33.2018,13.2172
2015-03-17,32.9522,13.1371
2015-03-18,33.1329,13.1932
2015-03-19,33.262,13.097
2015-03-20,33.4513,13.2092
2015-03-23,33.2104,13.2814
2015-03-24,32.5735,13.2733
2015-03-25,32.169,12.9688
2015-03-26,32.1432,12.8325
2015-03-27,32.1088,12.8085
2015-03-30,32.4272,12.9527
2015-03-31,32.2723,12.9367
2015-04-01,31.6183,12.7523
2015-04-02,31.4117,12.8485
2015-04-06,31.5494,12.8245
2015-04-07,30.7491,12.7443
2015-04-08,31.0761,12.8085
2015-04-09,31.231,12.7844
2015-04-10,31.472,12.8485
2015-04-13,31.3257,12.7203
2015-04-14,31.3945,12.8004
2015-04-15,31.7904,12.8806
2015-04-16,31.9109,12.7764
2015-04-17,31.5322,12.6321
2015-04-20,31.9367,12.7523
2015-04-21,31.9797,12.6802
2015-04-22,31.9797,12.7523
2015-04-23,30.9126,12.6321
2015-04-24,30.6286,12.6401
2015-04-27,30.7921,12.7443
2015-04-28,30.7405,12.8726
2015-04-29,30.5597,12.9607
2015-04-30,30.1725,12.7828
2015-05-01,30.4823,12.7908
2015-05-04,30.4651,12.7666
2015-05-05,30.1294,12.5643
2015-05-06,29.9229,12.5239
2015-05-07,30.0176,12.5481
2015-05-08,30.3962,12.6776
2015-05-11,30.3102,12.6614
2015-05-12,29.8971,12.5886
2015-05-13,29.9487,12.4672
2015-05-14,29.8196,12.354
2015-05-15,30.0434,12.5239
2015-05-18,30.1639,12.6048
2015-05-19,30.2241,12.54
2015-05-20,30.138,12.3782
2015-05-21,30.62,12.5481
2015-05-22,30.7232,12.354
2015-05-26,30.5683,12.2892
2015-05-27,30.8179,12.3944
2015-05-28,31.3171,12.3701
2015-05-29,30.9556,12.2731
2015-06-01,31.1363,12.4268
2015-06-02,31.1708,12.3459
2015-06-03,30.9298,12.2973
2015-06-04,30.5855,12.176
2015-06-05,30.2241,11.9575
2015-06-08,30.422,12.0546
2015-06-09,30.6568,12.0384
2015-06-10,30.9437,12.1598
2015-06-11,30.9089,12.3621
2015-06-12,31.048,12.3216
2015-06-15,30.8307,12.176
2015-06-16,30.9611,12.1355
2015-06-17,31.135,12.1517
2015-06-18,31.4741,12.2488
2015-06-19,31.3958,12.2245
2015-06-22,31.4654,12.2407
2015-06-23,31.561,12.3701
2015-06-24,30.5698,12.54
2015-06-25,30.1699,12.4915
2015-06-26,29.8917,12.4591
2015-06-29,28.8918,12.1517
2015-06-30,28.9787,12.1436
2015-07-01,28.7266,12.1274
2015-07-02,28.8918,12.0304
2015-07-06,28.3875,11.9656
2015-07-07,28.5701,12.0142
2015-07-08,27.1181,11.6258
2015-07-09,26.9616,11.5935
2015-07-10,27.3007,11.7148
2015-07-13,27.5442,11.8443
2015-07-14,27.6224,11.9818
2015-07-15,27.3268,11.9333
2015-07-16,26.6138,11.7876
2015-07-17,26.6486,11.8847
2015-07-20,26.5182,11.7876
2015-07-21,26.4226,11.7391
2015-07-22,26.3443,11.6663
2015-07-23,27.3877,11.82
2015-07-24,27.0051,11.642
2015-07-27,26.9964,11.7715
2015-07-28,27.2312,11.998
2015-07-29,27.7789,12.4268
2015-07-30,27.7441,12.3369
2015-07-31,27.3964,12.1163
2015-08-03,27.5442,12.2062
2015-08-04,27.405,12.1817
2015-08-05,27.4746,12.0918
2015-08-06,27.7007,12.1163
2015-08-07,27.5963,12.0918
2015-08-10,27.7702,12.247
2015-08-11,26.8051,12.0101
2015-08-12,26.8399,11.9938
2015-08-13,27.0051,12.0183
2015-08-14,27.379,12.0755
2015-08-17,27.4833,11.9938
2015-08-18,27.5702,12.1163
2015-08-19,27.5007,12.0673
2015-08-20,26.8138,11.7895
2015-08-21,25.7357,11.3238
2015-08-24,24.1707,10.7764
2015-08-25,23.7186,10.5395
2015-08-26,24.4315,10.7928
2015-08-27,24.8489,11.0787
2015-08-28,25.214,11.2258
2015-08-31,25.5966,11.332
2015-09-01,24.901,11.2094
2015-09-02,25.3966,11.332
2015-09-03,25.3097,11.3075
2015-09-04,25.1097,11.0787
2015-09-08,25.9791,11.1686
2015-09-09,25.7531,11.0542
2015-09-10,26.3965,11.2176
2015-09-11,26.5285,11.2013
2015-09-14,27.03,11.2584
2015-09-15,27.2676,11.6915
2015-09-16,27.4523,11.9611
2015-09-17,27.5491,11.9284
